station_id,name,lat,lng,address,operator_id,location
BNBN0310,"계룡 엄사중학교",36.28746720,127.23005050,"충남 계룡시 엄사면 번영11길 3 (엄사리)",BN,...
BNBN0311,"서산 서령고등학교",36.79356970,126.45874190,"충남 서산시 서령로 117-1 (동문동, 서령고등학교)",BN,...
BNBN0313,"경기 군포 산본로데오거리주차타워",37.36148090,126.93301700,"경기 군포시 금정동 845-1",BN,...
BNBN0314,"아산 온양중학교",36.77394410,126.99835300,"충청남도 아산시 온중로 48",BN,...
BNBN0317,"서울 성북구 장위1동 동방고개 공영주차장",37.61468440,127.04098970,"서울 성북구 장위로13길 9 (장위동, 공영주차장)",BN,...
BNBN0318,"전북 군산 군산교육지원청",35.96594000,126.73769500,"전북특별자치도 군산시 조촌로 22",BN,...
BNBN0319,"보령 대천여자고등학교",36.36063230,126.58415210,"충남 보령시 중앙로 264 (대천동, 대천여자고등학교)",BN,...
BNBN0320,"서울 금천구 시흥3동 공영주차장",37.44312100,126.90580600,"서울특별시 금천구 시흥대로28길 35-9",BN,...
BNBN0321,"세종특별자치시 광역정신건강 복지지원센터",36.49651500,127.31852300,"세종특별자치시 시청대로 566",BN,...
BNBN0322,"서울 금천구 가산동 공영주차장",37.47680100,126.89561000,"서울특별시 금천구 시흥대로153길 53",BN,...
BNBN0323,"천안 천안능수초등학교",36.77147950,127.15800980,"충남 천안시 동남구 청당용평로 112 (청당동)",BN,...
BNBN0325,"서울 금천구 가산동 가산디지털 서측노외",37.48548100,126.88039200,"서울특별시 금천구 가산디지털1로 230",BN,...
BNBN0326,"영등포구 대림3동 공영주차장",37.49788010,126.90044160,"서울특별시 영등포구 대림동 745-1",BN,...
BNBN0328,"영등포구 영등포제3공영주차장",37.51700700,126.90414190,"서울특별시 영등포구 문래로 196 (영등포동4가, 영등포구 관광정보센터)",BN,...
BNBN0329,"영등포구 당산1동 공영주차장",37.52723900,126.89765890,"서울특별시 영등포구 양산로 147 (당산동3가)",BN,...
BNBN0333,"전북 완주 국립축산과학원",35.82104730,127.05445550,"전북특별자치도 완주군 이서면 콩쥐팥쥐로 1500",BN,...
